Ship,Flag
Batavia,
Batoe Bassi,Netherlands
Belinda,
Ben Dearg,
Ben Ledi,Unknown
Bittern,Unknown
Bunyip (or Cartabunup),Unknown
Carlisle Castle,United Kingdom
Centaur,
Cervantes,Unknown
City of York,
Cochituate,United States
Correio da Azia,Portugal
Cumberland,
HMAS Derwent,Royal Australian Navy
Emily Taylor,Unknown
Emma,Unknown
Fanny Nicholson,
Georgette,
Hadda,Unknown
Hero of the Nile,Unknown
James,Unknown
James Matthews,Unknown
James Service,Unknown
Jon Jim,Unknown
Koolama,
Korean Star,
Kori,Unknown
Kormoran,Kriegsmarine
Kwinana,
Lady Elizabeth,
Lady Lyttleton,
Lively,United Kingdom
Manfred,Unknown
Mountaineer,Unknown
Ocean Queen,Unknown
RMS Orizaba,
Pericles,
Preston,Unknown
Rapid,United States
Redemptora,Brazil
Sanko Harvest,
Swift,Tasmania
HMAS Sydney,Royal Australian Navy
Thames,
Tryall,
Twilight,Unknown
HMS Undine,Royal Navy
Vergulde Draeck,
HMAS Wallaroo,Royal Australian Navy
Wave,
Xantho,
Yarra,Unknown
Zeewijk,
Zuytdorp,
USS Jeannette,United States Navy
HMS Achates,Royal Navy
RFA Aldersdale,Royal Navy
SS Andrew G. Curtin,United States
HMS Bickerton,Royal Navy
BO-229,Soviet Navy
BO-230,Soviet Navy
SS Daniel Morgan,United States
HMS Edinburgh,Royal Navy
SS Edward H. Crockett,United States
SS Empire Byron,United Kingdom
SS Empire Cowper,United Kingdom
SS El Occidente,United States
Z16 Friedrich Eckoldt,Kriegsmarine
FV Gaul,United Kingdom
HMS Goodall,Royal Navy
M-175,Soviet Navy
HMS Matabele,Royal Navy
SS Thomas Scott,United States
HMS Trinidad,Royal Navy
SM U-28,Kriegsmarine
U-288,Kriegsmarine
U-314,Kriegsmarine
U-354,Kriegsmarine
U-425,Kriegsmarine
U-457,Kriegsmarine
U-472,Kriegsmarine
U-585,Kriegsmarine
U-589,Kriegsmarine
U-655,Kriegsmarine
RFA Gray Ranger,Royal Navy
Hinrich Freese,Kriegsmarine
Lauenburg,Kriegsmarine
SS Oliver Ellsworth,United States
SS Santa Rosa,United States
HMS Somali,Royal Navy
SS Stalingrad,Soviet Union
U-88,Kriegsmarine
U-289,Kriegsmarine
U-408,Kriegsmarine
MY Ady Gil,New Zealand
MV Explorer,Liberia
San Telmo,Spain
Aura II,Finnish Navy
SMS Bremen,Imperial German Navy
HMS Cassandra,Royal Navy
SMS Friedrich Carl,Imperial German Navy
HMS Gentian,Royal Navy
MV Goya,Nazi Germany
Ilmarinen,Finnish Navy
MS Jan Heweliusz,Poland
Koral,Soviet Navy
Ladoga,Imperial Russian Navy
Lefort,Imperial Russian Navy
HMS Myrtle,Royal Navy
Oleg,Soviet Navy
Pallada,Imperial Russian Navy
SS Park Victory,United States
SMS Prinz Adalbert,Imperial German Navy
Rusalka,Imperial Russian Navy
S2,Finnish Navy
SMS S31,Imperial German Navy
Sivuch,Imperial Russian Navy
Achille,French Navy
Agosta,French Navy
Arendskerk,Netherlands
Berenice,Netherlands
Dupetit-Thouars,French Navy
Diane,French Navy
España,Spanish Republican Navy
Gueydon,French Navy
Infernet,French Navy
Kléber,French Navy
Neion,Greece
HMS Serpent,Royal Navy
U-621,Kriegsmarine
U-1222,Kriegsmarine
Portugal,Imperial Russian Navy
Struma,Panama
MT Unirea,Romania
Alegrete,Brazil
Amakura,United Kingdom
Ante Matkovic,Kingdom of Yugoslavia
Ardenvohr,United Kingdom
Arkansan,United States
Arriaga,Panama
Beatrice,United States
Blankaholm,Sweden
Brabant,Belgium
British Consul,United Kingdom
Bruxelles,Belgium
USS Caron,United States Navy
MV C.O. Stillman,Panama
MV Christena,St. Kitts and Nevis
USS Dorado,United States Navy
SS Empire Amethyst,United Kingdom
SS Empire Buffalo,United Kingdom
SS Empire Cloud,United Kingdom
SS Empire Cromwell,United Kingdom
SS Empire Explorer,United Kingdom
SS Faja de Oro,Mexico
Flora,Netherlands
Furor,Spanish Navy
Gonçalves Dias,Brazil
Infanta Maria Teresa,Spanish Navy
Jorge Juan,Spanish Navy
Kahuku,United States
USS Kearsarge,United States Navy
USS Maine,United States Navy
SS Melville E. Stone,United States
USS Merrimac,United States Navy
SS Norlantic,United States
USS O-5,United States
Plutón,Spanish Navy
Poelau Roebiah,Netherlands
Port Montreal,United Kingdom
USS R-12,United States Navy
Regent,Latvia
Reina Mercedes,Spanish Navy
Rotterdam,Netherlands
Sally,Honduras
Stad Amsterdam,Netherlands
Surcouf,Free French Naval Forces
USS Sylvan Arrow,United States Navy
Tachirá,United States
USS Texan,United States Navy
Tuscaloosa City,United States
U-94,Kriegsmarine
U-153,Kriegsmarine
U-159,Kriegsmarine
U-359,Kriegsmarine
U-654,Kriegsmarine
Valera,Panama
West Celina,United States
West Hardaway,United States
SS Alcoa Puritan,United States
Amatlan,Mexico
Baja California,Honduras
Bayard,Norway
Benjamin Brewster,United States
Bosiljka,Kingdom of Yugoslavia
D/S Cadmus,Norway
Carrabulle,United States
SS City of Everett,United States
Gulfoil,United States
Gundersen,Norway
Halo,United States
Hamlet,Norway
USS Hatteras,United States Navy
Holstein,Honduras
J. W. Clise,United States
SS Las Choapas,Mexico
Moira,Norway
Rawleigh Warner,United States
San Blas,Panama
USS Tacoma,United States Navy
USS Tecumseh,United States Navy
Tuapase,Soviet Union
SS Tuxpam,Mexico
Virginia,United States
SS Ajax,Norway
Akaroa,Norway
HMS Blackwood,Royal Navy
RMS Connaught,United Kingdom
Courbet,French Navy
SS Donegal,United Kingdom
ORP Dragon,Polish Navy
SS Espagne,Belgium
SS Glenartney,United Kingdom
HMS Gladiator,Royal Navy
HMS LCT-1074,Royal Navy
SS Léopoldville,Belgium
HMS Limbourne,Royal Navy
USS LST-314,United States Navy
HMS Monarch,Royal Navy
SS Ouse,United Kingdom
SS Rye,United Kingdom
HNLMS Sumatra,Royal Netherlands Navy
U-212,Kriegsmarine
U-275,Kriegsmarine
U-327,Kriegsmarine
U-671,Kriegsmarine
U-672,Kriegsmarine
U-678,Kriegsmarine
U-988,Kriegsmarine
UB-72,Imperial German Navy
UB-74,Imperial German Navy
UB-78,Imperial German Navy
UB-109,Imperial German Navy
HMS Wessex,Royal Navy
HMS Cochrane,Royal Navy
U-1024,Royal Navy
U-1051,Kriegsmarine
U-1172,Kriegsmarine
USAT Dorchester,United States Army
USCGC Escanaba,United States Coast Guard
SS Flynderborg,United Kingdom
HMS Abdiel,Royal Navy
Achéron,French Navy
Actéon,French Navy
HMAS AE2,Royal Australian Navy
SS Almeria Lykes,United States
Almirante Ferrándiz,Spanish Navy
Alose,French Navy
Amalfi,Regia Marina
Amiral Charner,French Navy
SS Amiral Magon,France
RMS Arabia,United Kingdom
Argonaute,French Navy
Ariane,French Navy
HMS Ark Royal,Royal Navy
Armando Diaz,Regia Marina
Artigliere,Regia Marina
HMS Athenienne,Royal Navy
SS Athos,France
Aurore,French Navy
SS Australien,France
Baleares,Spanish Navy
HMS Barham,Royal Navy
Barbaros Hayreddin,Ottoman Navy
SS Baron Gautsch,Austria-Hungary
USS Beatty,United States Navy
HMS Bedouin,Royal Navy
Bernoulli,French Navy
HMS Blean,Royal Navy
HMS Bonaventure,Royal Navy
Bretagne,French Navy
HMS Broke,Royal Navy
USS Buck,United States Navy
HMS Cachalot,Royal Navy
HMS Cairo,Royal Navy
HMS Calcutta,Royal Navy
Calypso,French Navy
HMS Calypso,Royal Navy
SS Cameronia,United Kingdom
Châteaurenault,French Navy
SS Chesterfield,United Kingdom
SS City of Bradford,United Kingdom
Condorcet,French Navy
Console Generale Liuzzi,Regia Marina
HMS Cornwallis,Royal Navy
HMS Bayano,Royal Navy
SS Dettifoss,Iceland
HMS Emerald,Royal Navy
U-680,Kriegsmarine
U-968,Kriegsmarine
UB-82,Imperial German Navy
HMS Aboukir,Royal Navy
RMS Alcantara,United Kingdom
HMS Arabis,Royal Navy
HMS Argyll,Royal Navy
SMS Ariadne,Imperial German Navy
SMS Blücher,Imperial German Navy
Bourbon Dolphin,Norway
SS Charkow,Denmark
SS Charles D. McIver,United States
HMS Coquette,Royal Navy
HMS Cressy,Royal Navy
HMS D5,Royal Navy
Dana,Royal Danish Navy
HMS Daring,Royal Navy
SS Deutschland,German Empire
Doris,French Navy
HMS Dunoon,Royal Navy
HMS E22,Royal Navy
HMS Esk,Royal Navy
HMS Exmouth,Royal Navy
HMS Falcon,Royal Navy
SS Flandria,Sweden
HMS Flirt,Royal Navy
HMS Fortune,Royal Navy
HMS G9,Royal Navy
SMS G42,Imperial German Navy
SMS G85,Imperial German Navy
HMS Gala,Royal Navy
SMS Greif,Imperial German Navy
HMS Grenville,Royal Navy
HMS Gurkha,Royal Navy
MT Gustaf E. Reuter,Sweden
HMS Hawke,Royal Navy
SMS Hela,Imperial German Navy
SS Henry B. Plant,United States
HMS Hogue,Royal Navy
SS Horace Binney,United States
HMS Iphigenia,Royal Navy
HMS Itchen,Royal Navy
HMS Ivanhoe,Royal Navy
HMS K1,Royal Navy
USS Kerwood,United States Navy
SMS Königin Luise,Imperial German Navy
German cruiser Leipzig,Royal Navy
SS Linda,Estonia
SMS Mainz,Imperial German Navy
HMS Mary Rose,Royal Navy
SS Narva,United Kingdom
HMS Natal,Royal Navy
HMS Nestor,Royal Navy
HMS Nomad,Royal Navy
HMS Acasta,Royal Navy
HMS Afridi,Royal Navy
HMS Curlew,Royal Navy
HMS Effingham,Royal Navy
Executive,United States
HMS Glorious,Royal Navy
HMS Glowworm,Royal Navy
Greylock,United States
Hessen,Kriegsmarine
USS Howick Hall,United States Navy
HMT Juniper,Royal Navy
K-278 Komsomolets,Soviet Navy
HMS Kite,Royal Navy
SMS Leopard,Imperial German Navy
HMS Mahratta,Royal Navy
SS Orizaba,Nazi Germany
HMS Punjabi,Royal Navy
U-277,Kriegsmarine
U-292,Kriegsmarine
U-308,Kriegsmarine
U-317,Kriegsmarine
U-335,Kriegsmarine
U-344,Kriegsmarine
U-347,Kriegsmarine
U-360,Kriegsmarine
U-361,Kriegsmarine
U-412,Kriegsmarine
U-423,Kriegsmarine
U-476,Kriegsmarine
U-477,Kriegsmarine
U-478,Kriegsmarine
U-601,Kriegsmarine
U-644,Kriegsmarine
U-674,Kriegsmarine
U-675,Kriegsmarine
U-713,Kriegsmarine
U-715,Kriegsmarine
U-867,Kriegsmarine
U-961,Kriegsmarine
U-973,Kriegsmarine
U-989,Kriegsmarine
U-990,Kriegsmarine
African Star,United States
MV Atlantic Conveyor,United Kingdom
Bagé,Brazil
Brasiloide,Brazil
RFA Darkdale,Royal Navy
SS Albert Gallatin,United States
SS Berwyn,United States
SS E.G. Seubert,United States
PNS Khaibar,Pakistan Navy
MOL Comfort,Bahamas
MS Georges Philippar,France
SS John Barry,United States
INS Khukri,Indian Navy
SS Montanan,United States
SS Automedon,United Kingdom
SS Indus,United Kingdom
Ro-110,Imperial Japanese Navy
SS Selma City,United States
Arnhem,Dutch East India Company
SS Berwickshire,United Kingdom
SS Chivalry,United Kingdom
SS City of Johannesburg,United Kingdom
SS Clan Macarthur,United Kingdom
SS Commissaire Ramel,France
Cornelia P. Spencer,United States
HMS Cornwall,Royal Navy
HMS Dorsetshire,Royal Navy
SS Empire Chaucer,United Kingdom
MV Empire Day,United Kingdom
SS Fort Lee,United States
SS Fort Longueuil,United Kingdom
SS Frontier,South Africa
SS Hoihow,United Kingdom
I-27,Imperial Japanese Navy
SS James B. Stephens,United States
SS Khedive Ismail,United Kingdom
SS Koning der Nederlanden,Netherlands
Lapérouse,French Navy
Magicienne,French Navy
SS Marietta E,United Kingdom
Monge,French Navy
MTS Oceanos,Greece
USS Pecos,United States Navy
Pinguin,Kriegsmarine
HMS Plym,Royal Navy
Ramb I,Regia Marina
Samuel Heintzelman,United States
Texanita,Liberia
SS Tjisalak,Netherlands
RIMS Warren Hastings,Royal Indian Marine
MV Eidsvold,Norway
"Janga (""SIEV-221"")",Indonesia
MV Tycoon,Panama
SS Buresk,German Empire
SMS Emden,Imperial German Navy
Mahomed Shah,United Kingdom
SS Selje,Norway
Bévéziers,French Navy
Admiral Gambier,United Kingdom
MV Empire City,United Kingdom
SS Express,United States
Le Héros,French Navy
MV Mary Livanos,Portugal
SS Robert Bacon,United States
Iran Ajr,Islamic Republic of Iran Navy
U-533,Kriegsmarine
Aida,Egypt
Al-Baraqua II,Djibouti
MS al-Salam Boccaccio 98,Egypt
SS Carnatic,United Kingdom
Chrisoula K,Greece
SS Dunraven,United Kingdom
Giannis D,Greece
Kimon M,Panama
Numidia,United Kingdom
El Mina,Egyptian Navy
SS Rosalie Moller,United Kingdom
MV Salem Express,Egypt
SS Thistlegorm,United Kingdom
SS Umbria,Kingdom of Italy
Zingara,Italy
MS Empress of Australia,Australia
SS Galileo Galilei,Bahamas
USS Grenadier,United States Navy
I-34,Imperial Japanese Navy
I-166,Imperial Japanese Navy
Mousquet,French Navy
Myōkō,Imperial Japanese Navy
Sovereign of the Seas,United States
Takao,Imperial Japanese Navy
U-181,Kriegsmarine
U-859,Kriegsmarine
U-862,Kriegsmarine
