Ship,Sunk date,Notes,Coordinates,Year
Novorossiysk,29-Oct-55,"A Conte di Cavour-class battleship that exploded in Sevastopol Bay, resulting in 608 deaths.",44°37′7″N 33°32′8″E,1955
HMS Tiger,11 May 1854,A steam frigate that was grounded in the Crimean War 5 nautical miles (9.3 km) southwest of Odesa.,,1854
U-180,23-Aug-44,A Type IXD1 U-boat sunk off Soorts-Hossegor.,,1944
Ajax,25-Dec-17,A cargo ship that was torpedoed by U-104 south of Audierne.,,2017
HMS Amazon,14 January 1797,A frigate that ran aground at Audierne.,,1797
HMS Amfitrite,4 March 1807,A frigate wrecked off Ushant.,,1807
Amoco Cadiz,16-Mar-78,"A supertanker that ran aground at Portsall, causing an oil spill.",,1978
HMS Arethusa,19 March 1779,"Royal Navy frigate, wrecked off Ushant after sustaining considerable damage in a battle with the French ship Aigrette.",,1779
Asgard II,11-Sep-08,A brigantine that sank off Belle Île.,,2008
HMCS Athabaskan,29-Apr-44,A Tribal-class destroyer that was torpedoed by T24 off Plouguerneau.,,1944
Auguste,29 January 1795,A ship of the line caught in a tempest off Brest.,,1795
Böhlen,14 October 1976,An oil tanker that sank after going aground off the Île de Sein,,1976
HMS Charybdis,23-Oct-43,A Dido-class cruiser that was sunk by German torpedo boats off the north coast of Brittany.,,1943
Droits de l'Homme,1797,Sunk after going aground off Plozévet.,,1797
Empire Conyngham,20-Jun-49,A cargo ship that was scuttled off Brest.,47°52′N 8°51′W﻿ / ﻿47.867°N 8.850°W﻿ / 47.867; -8.850﻿ (SS E,1949
Erika,12-Dec-99,"An oil tanker that sank in the Bay of Biscay, causing an oil spill.",47°9′N 4°15′W﻿ / ﻿47.150°N 4.250°W﻿ / 47.150; -4.250﻿ (MV E,1999
HMS Firm,29 June 1811,A gun-brig wrecked off Cancalle Bay.,,1811
France,26-Aug-22,A Courbet-class battleship that struck a rock in Quiberon Bay.,,2022
USS Gypsum Queen,28-Apr-19,A tugboat that struck a rock off Brest.,,2019
Hilda,18-Dec-05,A steamship that hit the Pierre de Portes rocks in thick fog and sank off Saint-Malo.,,2005
SS London,11 January 1864,Sunk in a storm in the Bay of Biscay.,,1864
HMS Magnificent,25 March 1804,A Ramillies-class ship of the line that struck a reef off Brest.,,1804
HMS Monkey (1801),25 December 1810,A gun-brig wrecked on Belle Île while participating in the blockade of Lorient.,,1810
Neptune,28 December 1794,A ship of the line wrecked off Brest during the Croisière du Grand Hiver.,,1794
Royal Louis,24 December 1794,A ship of the line that ran aground off Brest.,,1794
Saint-Esprit,30 January 1795,A Saint-Esprit-class ship of the line wrecked off Brest during Croisière du Grand Hiver.,,1795
Séduisant,16 December 1796,A Séduisant-class ship of the line wrecked off Brest.,,1796
Superbe,30 January 1795,A Téméraire-class ship of the line wrecked off Brest during the Croisière du Grand Hiver.,,1795
U-171,9-Oct-42,A Type IXC U-boat that was sunk near Lorient.,,1942
U-441,8-Jun-44,A Type VIIC U-boat that was sunk off Ushant.,,1944
U-526,14-Apr-43,A Type IXC/40 U-boat that was sunk by mines near Lorient.,,1943
U-767,18-Jun-44,A Type VIIC U-boat that was sunk by British destroyers north of Tréguier.,,1944
U-821,10-Jun-44,A Type VIIC U-boat that was sunk by aircraft off Ushant.,,1944
UC-36,21-May-17,A German Type UC II U-boat that was rammed by French steamer Molière off Ushant.,,2017
HMS Affray,16-Apr-51,An Amphion-class submarine lost near Hurds Deep.,,1951
Baden,16-Aug-21,A Bayern-class dreadnought sunk as a target in Hurd Deep.,,2021
HMS Dragon,15 March 1712,"A frigate that served in the Anglo-Dutch Wars, and was wrecked near Guernsey.",,1712
HMS Lady Olive,19-Feb-17,A Q ship that was sunk by SM UC-18 west of Jersey.,,2017
Stella,30 March 1899,A passenger ferry that hit a granite reef off the Casquets.,,1899
UC-18,19-Feb-17,A German minelaying submarine sunk by Q ship Lady Olive west of Jersey.,,2017
HMS Fleche,12 November 1795,A corvette that ran aground and capsized in the bay of Saint-Florent.,,1795
HMS Saracen,14-Aug-43,An S-class submarine that was attacked by Italian corvettes and scuttled off Bastia.,42°45′N 9°30′E,1943
Abukir,28-May-40,"A steamship that was torpedoed by S-34 northeast of Calais, while evacuating soldiers and civilians from Ostend.",51°12′N 2°10′E,1940
L'Adroit,25-May-40,A L'Adroit-class destroyer that was bombed by German aircraft off Dunkirk.,51°03′N 2°23′E,1940
HMS Assistance,29 March 1802,A fourth-rate ship that hit a sandbank off Dunkirk.,,1802
Elizabeth,28 December 1810,"A cargo ship wrecked on the Dunkirk brake, with at least 380 deaths.",,1810
HMS Grenade,29-May-40,A G-class destroyer that was sunk by German Stuka dive bomber aircraft during the Battle of Dunkirk.,51°24′28″N 2°49′10″E,1940
HMS Havant,1-Jun-40,A H-class destroyer that was scuttled after taking damage in the Battle of Dunkirk.,51°08′00″N 2°15′49″E,1940
HMS Keith,1-Jun-40,A B-class destroyer sunk at Dunkirk by enemy aircraft.,51°04′46″N 02°26′47″E,1940
HMS Laforey,23-Mar-17,A Laforey-class destroyer that hit a mine off Cap Gris Nez.,,2017
Huntley,21-Nov-15,"A German hospital ship seized by the Royal Navy, and torpedoed by UB-10 off Boulogne.",,2015
U-109,26-Jan-18,A German submarine sunk in the English Channel.,50°53′N 1°31′E,2018
UC-26,8-May-17,A German minelaying submarine rammed by HMS Milne off Calais.,51°03′N 01°40′E,2017
UC-61,26-Jul-17,A German minelaying submarine stranded and scuttled off Boulogne.,50°53′N 01°33′E,2017
UC-79,1918,A German minelaying submarine sunk by a mine off Cap Gris Nez.,,1918
CSS Alabama,11 June 1864,A screw sloop-of-war sunk off Cherbourg-Octeville during the American Civil War.,,1864
Amsterdam,7-Aug-44,A hospital ship that was sunk by a mine while taking casualties from Juno Beach.,,1944
HMS Berkeley,19-Jul-42,A Hunt-class destroyer that was damaged by German bombers and scuttled off Dieppe.,49°59′N 01°02′E,1942
HMS Britomart,27-Aug-44,"A Halcyon-class minesweeper that was, along with HMS Hussar, accidentally sunk by RAF Hawker Typhoons off Le Havre.",,1944
HMS Capel,26-Dec-44,A Captain-class frigate that was torpedoed by U-486 off Cherbourg.,,1944
HMS Centurion,7-Jun-44,A King George V-class battleship sunk as a breakwater off Avranches.,,1944
La Combattante,23-Feb-45,"A Hunt-class destroyer that was used by the Free French Naval Forces, and sank off Normandy.",,1945
USS Corry,6-Jun-44,A Gleaves-class destroyer sunk off Îles Saint-Marcouf during the D-Day landings.,,1944
HMS D3,12-Mar-18,A D-class submarine that was mistakenly bombed by a French airship off Fecamp.,,2018
HMS Daffodil,18-Mar-45,"A train ferry that was requisitioned by the Royal Navy as an amphibious warfare ship, and was sunk by a mine off Dieppe.",50°02′N 01°04′E,1945
Derrycunihy,24-Jun-44,A troopship that was sunk by a mine off Sword Beach.,,1944
HMS Derwent,2-May-17,A River-class destroyer sunk off Le Havre by a mine laid by German submarine UC-26.,,2017
ORP Dragon,7-Jul-44,A Danae-class cruiser that was transferred to the Polish Navy and then scuttled near Courseulles.,,1944
HMS Durban,9-Jun-44,A Danae-class light cruiser that was scuttled as a breakwater off Ouistreham.,,1944
USS Eastern Shore,4-Aug-44,A cargo ship sunk to form part of a Mulberry harbour.,,1944
HMS Eden,18-Jun-16,A River-class destroyer that collided with SS France off Fécamp.,,2016
Empire Broadsword,Jul-44,An infantry landing ship sunk by a mine off Normandy.,49°25′N 0°54′W﻿ / ﻿49.417°N 0.900°W﻿ / 49.417; -0.900﻿ (SS E,1944
Empire Javelin,28-Dec-44,An infantry landing ship that was sunk in the English Channel.,50°5′N 1°0′W﻿ / ﻿50.083°N 1.000°W﻿ / 50.083; -1.000﻿ (SS E,1944
Galeka,28-Oct-16,A hospital ship that struck a mine while entering Le Havre.,49°34′N 0°5′E,2016
USS Glennon,10-Jun-44,A Gleaves-class destroyer that hit a mine and was sunk by shore batteries in the Baie de la Seine.,,1944
HMS Hussar,27-Aug-44,"A minesweeper sunk by friendly fire off Le Havre, along with HMS Britomart.",,1944
HMS Isis,20-Jul-44,An I-class destroyer sunk off the coast of Normandy.,,1944
Komet,14-Oct-42,A German auxiliary cruiser sunk by British motor torpedo boats near La Hague.,,1942
HMHS Lanfranc,17-Apr-17,A hospital ship torpedoed by German submarine UB-40 off Le Havre.,50°06′36″N 0°07′12″E,2017
Léopoldville,24-Dec-44,"A former Belgian passenger liner converted to a transport ship, torpedoed 5 nautical miles (9.3 km) from the coast of Cherbourg-Octeville.",,1944
USS Miantonomah,25-Sep-44,A cargo ship and minelayer sunk by a mine off Le Havre.,49°26′29″N 0°11′31″E,1944
USS Partridge,11-Jun-44,A Lapwing-class minesweeper sunk by German E-boats off Vierville-sur-Mer.,,1944
USS PC-1261,6-Jun-44,"A PC-461-class submarine chaser, and the first ship sunk during the D-Day landings.",,1944
Pennsylvanian,16-Jul-44,A cargo ship scuttled to form part of a Mulberry harbour.,,1944
HMS Pylades,8-Jul-44,A Catherine-class minesweeper sunk off Juno Beach.,,1944
HMS Quorn,3-Aug-44,A Hunt-class destroyer sunk off the coast of Normandy.,,1944
USS Rich,8-Jun-44,A Buckley-class destroyer escort that hit three mines off Îles Saint-Marcouf.,49°31′N 1°10.6′W﻿ / ﻿49.517°N 1.1767°W﻿ / 49.517; -1.1767﻿ (USS Rich (DE,1944
HMHS Salta,10-Apr-17,A hospital ship that hit a mine laid by UC-26 off Le Havre.,,2017
HMS Shannon,10 December 1803,A frigate wrecked off Tatihou.,,1803
Soleil Royal,3 June 1692,A ship of the line beached at Cherbourg and destroyed by fireships.,,1692
USS Susan B. Anthony,7-Jun-44,"A transport ship sunk by a mine off Normandy; all 2,689 people aboard were rescued.",,1944
HNoMS Svenner,6-Jun-44,"An S-class destroyer that served in the Royal Norwegian Navy, and was sunk off Sword Beach.",,1944
USS Tide,7-Jun-44,An Auk-class minesweeper sunk by a mine off Îles Saint-Marcouf.,,1944
Train Ferry No. 2,13-Jun-40,"A train ferry that was requisitioned by the Royal Navy as an amphibious warfare ship, and was sunk by German gunfire off Sainte-Marguerite-sur-Mer.[1]",49°56′N 00°56′E,1940
U-151,7-Jun-21,A German submarine sunk as a target at Cherbourg.,,2021
UC-78,9-May-18,A German minelaying submarine rammed by off Cherbourg.,,2018
HMAT Warilda,3-Aug-18,An Australian hospital ship torpedoed by U-boat UC-49 off Le Havre.,,2018
West Cheswald,11-Jun-44,A cargo ship scuttled off Utah Beach as a breakwater.,,1944
West Grama,8-Jun-44,A cargo ship scuttled off Omaha Beach as a breakwater.,,1944
West Honaker,8-Jun-44,A cargo ship scuttled off Utah Beach as a breakwater.,,1944
West Nohno,11-Jun-44,A cargo ship scuttled off Utah Beach as a breakwater.,,1944
White Ship,25 November 1120,A 12th century vessel that sank in the English Channel near the Normandy coast off Barfleur.,,1120
HMS Alcmene,29 April 1809,An Alcmene-class frigate wrecked off nantes.,,1809
USS Buchanan,29-Mar-42,A Wickes-class destroyer that was deliberately blown up in the St Nazaire Raid.,,1942
Héros (1750),21 September 1759,A ship of the line wrecked off Le Croisic.,,1759
RMS Lancastria,17-Jun-40,A Cunard Liner sunk in the Loire River estuary during World War II.,,1940
Saint-Philibert,14-Jun-31,"A cruise ship that sank off the Île de Noirmoutier, resulting in the death of nearly 500 passengers.",,1931
Sachsenwald,6-Aug-44,A German weather ship that was sunk by a British convoy off Île d'Yeu.,,1944
U-268,19-Feb-43,A Type VIIC U-boat sunk by depth charges off nantes.,,1943
U-51,20-Aug-40,A Type VIIB U-boat torpedoed by HMS Cachalot off Saint-Nazaire.,,1940
U-736,6-Aug-44,A Type VIIC U-boat sunk by HMS Loch Killin off Saint-Nazaire.,,1944
HMS Atalante,12 February 1807,A brig-sloop wrecked off Île de Ré.,,1807
U-107,18-Aug-44,A Type IXB U-boat sunk by depth charges off La Rochelle.,,1944
U-263,20-Jan-44,A Type VIIC U-boat that was sunk during a deep dive trial off La Rochelle.,,1944
U-667,25-Aug-44,A Type VIIC U-boat that struck a mine off Oléron.,,1944
Espingole,4-Feb-03,A Durandal-class destroyer that struck a rock near Cavalaire-sur-Mer.,43°09′20″N 06°36′30″E,2003
Héros,18 December 1793,A ship of the line that was scuttled by fire at Toulon.,,1793
L'Indomptable,27-Nov-42,A Le Fantasque-class destroyer that was scuttled at Toulon to avoid capture (see Scuttling of the French fleet in Toulon).,,1942
Madrague de Giens,-75,"A Roman merchantman sunk off the coast of La Madrague de Giens, east of Toulon.",43°2′N 06°6′E,-75
Magenta,31 October 1875,An ironclad warship that exploded in the military harbour of Toulon.,,1875
U-303,21-May-43,A Type VIIC U-boat that was torpedoed by HMS Sickle off Toulon.,42°50′N 06°00′E,1943
HMS Drake,2-Oct-17,Torpedoed by U-79 in Rathlin Sound.,,2017
Girona,26 October 1588,"Foundered and sank off Lacada Point, County Antrim.",,1588
Lagan,Mar-46,Sank in collision off Belfast Lough.[1],,1946
Normanby Hall,8-Oct-65,Foundered and sunk off Kilroot.,,1965
MV Princess Victoria,31-Jan-53,Foundered in heavy seas off the Copeland Islands.,,1953
State of Louisiana,28 December 1878,A passenger liner that ran aground on Hunter Rock.,,1878
Tiberia,26-Feb-18,"A merchant ship torpedoed and sunk by SM U-19 off Black Head near Larne, County Antrim.",,2018
MV Akka,9-Apr-56,Ran aground and was wrecked in the River Clyde.,,1956
Annie Jane,28 September 1853,"Sank off Vatersay, Outer Hebrides in a gale, with the loss of 350 lives.[2]",,1853
RMS Aurania,4-Feb-18,An ocean liner that was torpedoed by UB-67 off the coast of Ireland.,,2018
Avondale Park,7-May-45,A cargo ship that was sunk by U-2336 south of the Isle of May.,,1945
Ben Doran,30-Mar-30,"An Aberdeen trawler that wrecked on the Ve Skerries, Shetland, killing the ~9 crew.[3]",,1930
SS Breda,23-Dec-40,"Dutch cargo ship, sunk by two Heinkel 111 bombers in Ardmucknish Bay off Oban.",,1940
SMS Brummer,21-Jun-19,A Brummer-class cruiser that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,,2019
HMS Caribbean,27-Nov-15,Sank 35 miles (56 km) off Cape Wrath due to bad weather.,,2015
MV Cemfjord,2-Feb-15,A cargo ship that foundered 12 nautical miles (22 km) east of Muckle Skerry.,,2015
Coelleira,4-Aug-19,"A Spanish-owned, UK-registered longliner that wrecked on the Ve Skerries, Shetland.[4]",,2019
SMS Cöln,21-Jun-19,A Cöln-class cruiser that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,,2019
MV Craigantlet,26-Feb-82,"British container ship ran aground at Killantringan lighthouse, Wigtownshire.",,1982
HMS Dartmouth,9 October 1690,A frigate wrecked in the Sound of Mull.,,1690
HMS Dasher,27-Mar-43,Aircraft carrier sunk by a major internal explosion. Lies in the Clyde estuary.,,1943
SS Desabla,12-Jun-15,"Intercepted and sunk by German submarine SM U-17, 35 miles (56 km) off Montrose.",,2015
SMS Dresden,21-Jun-19,A Cöln-class cruiser that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,,2019
Elinor Viking,9-Dec-77,"An Aberdeen trawler that wrecked on the Ve Skerries, Shetland.[5]",,1977
SS Empire Conveyor,22-Jun-40,A cargo ship torpedoed by U-122 off Barra Head.,,1940
Flying Phantom,19-Dec-07,A tug that sank in foggy conditions in the River Clyde at Clydebank.,,2007
HMS Goldfinch,19-Feb-15,An Acorn-class destroyer wrecked at Start Point.,,2015
El Gran Grifón,27 September 1588,A ship of the Spanish Armada that was wrecked on Fair Isle.,,1588
SS Gracechurch,16-Aug-40,"A cargo ship that was torpedoed by U-32 off Lewis, Outer Hebrides.",,1940
HMS Graph,20-Mar-44,"Formerly the German U-boat U-570. Captured and taken into Royal Navy service in 1942, she ran aground and was wrecked on Islay in 1944.",,1944
HMS Hampshire,5-Jun-16,British armoured cruiser that struck a mine off Orkney.,,2016
SS Hispania,18-Dec-54,A Swedish steamboat that struck rocks in the Sound of Mull.,,1954
HMS Imogen,16-Jul-40,An I-class destroyer that collided with HMS Glasgow off Duncansby Head.,,1940
SS Inkosi,28-Mar-18,A steamship that was torpedoed by U-96 south of Burrow Head.[6],,2018
HMS Iolaire,1-Jan-19,An admiralty yacht sank in The Minch outside Stornoway harbour with the loss of 205 men returning from World War I.,,2019
SS John Randolph,5-Sep-52,"Struck a mine on 5 July 1942 in the Denmark Strait. The forepart was salved but broke tow on 1 September 1952 and was later wrecked at Torrisdale Bay, Sutherland on 5 September.[7][8][9]",,1952
SMS Karlsruhe,21-Jun-19,A Königsberg-class cruiser that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,,2019
HMS King Edward VII,6-Jan-16,A King Edward VII-class battleship that struck a mine laid by SMS Möwe off Cape Wrath.,,2016
SMS König,21-Jun-19,A König-class battleship that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,,2019
SMS Kronprinz,21-Jun-19,A König-class battleship that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,,2019
SS Leadgate,8-Mar-43,A straggler from Convoy SC 121 that was hit by a torpedo from U-642 and sank west of the Hebrides. The master and 25 crewmembers were lost.,,1943
SMS Markgraf,21-Jun-19,A König-class battleship that was among the 74 ships scuttled in Scapa Flow by Admiral Reuter.,,2019
Orion,June 1850,A paddle steamer that sank off Wigtownshire.,,1850
HMS Port Napier,27-Nov-40,"British minelayer ran aground in the Kyle of Lochalsh, caught fire while being unloaded, destroyed by explosion.",,1940
SS The Ramsey,8-Aug-15,An armed boarding steamer that was sunk by SMS Meteor northeast of Fair Isle.,,2015
TSS Roebuck,13-Jan-15,"A minesweeper that sank following a collision with HMS Imperieuse in Scapa Flow, near Longhope.",,2015
Rondo,25-Jan-35,Sunk in the Sound of Mull in a storm.,,1935
HMS Royal Oak,14-Oct-39,"A Revenge-class battleship torpedoed in Scapa Flow by U-47, with 833 deaths.",,1939
San Juan de Silicia,5 November 1588,A ship of the Spanish Armada that was blown up at Tobermory.,,1588
HMS Sealion,13-Mar-45,An S-class submarine scuttled off the Isle of Arran.,,1945
SS Seniority,8-Nov-50,A cargo ship that sank off the Bo Vich Chuan Rock in the Outer Hebrides.,,1950
SS St. Sunniva,10-Apr-30,A cruise ship that ran aground on the island of Mousa.,,1930
Swan,13 September 1653,A warship that sunk in a storm while anchored off Duart Castle.,,1653
SS Thesis,16 October 1889,A steamship that ran aground on a reef in the Sound of Mull.,,1889
SS Tuscania,5-Feb-18,"An ocean liner that was torpedoed by UB-77 off Islay, Inner Hebrides.",,2018
U-33,12-Feb-40,A Type VIIA U-boat that was sunk by HMS Gleaner in the Firth of Clyde.,,1940
U-297,6-Dec-44,"A Type VIIC/41 U-boat that was sunk by a British Short Sunderland flying boat of No. 201 Squadron RAF 16 nautical miles (30 km) west of Yesnaby, Orkney Islands.",,1944
U-714,14-Mar-45,German U-Boat sunk by depth charges from the South African frigate HMSAS Natal. She was discovered in the Firth of Forth in 2007.,,1945
U-722,27-Mar-45,"A Type VIIC U-boat that was sunk in the Sea of the Hebrides by HMS Fitzroy, HMS Redmill and HMS Byron.",,1945
U-1206,14-Apr-45,"A Type VIIC U-boat that sprung a leak and sank off Cruden Bay, Aberdeenshire.",,1945
UB-116,28-Oct-18,A Type UB III U-boat that was sunk by a mine while attempting to enter the Scapa Flow.,,2018
Valkyrie II,5 July 1894,A cutter that collided with Satanita on the Firth of Clyde.,,1894
HMS Vandal,24-Feb-43,A U-class submarine sunk off Lochranza four days after commissioning.,,1943
HMS Vanguard,9-Jul-17,"A St. Vincent-class battleship that exploded and sank at Scapa Flow, with about 804 deaths.",,2017
Varyag,1925,A Russian protected cruiser that ran aground and sank in the Firth of Clyde.,,1925
HMS Vivid,8-Jul-13,"A training ship of the Royal Technical College, Glasgow, ran aground and wrecked at Colonsay of her first voyage as a training ship.",,2013
Amazonese,15 April 1881,A cargo steamship that ran aground at St. David's Head.,,1881
SS Behar,24-Nov-40,"A 6,100 ton steamer, 436 ft (133 m) in length, with a cargo of 4,700 tons of government stores, allegedly including Harley Davidson motorbikes. Sunk by magnetic parachute mine in Milford Haven, Pembrokeshire.[11]",,1940
Calburga,13-Nov-15,A Canadian barque that ran aground in a gale off Strumble Head.,,2015
SS Castilian,12-Feb-43,"A cargo ship that ran aground off The Skerries, Anglesey.",,1943
HMS Conway,14-Apr-53,A training ship wrecked near Menai Bridge.,,1953
SS Dakotian,21-Nov-40,"A 6,400 ton steamer, 400 ft (120 m) in length, with a cargo of 1,300 tons of tinplate. Sunk by magnetic parachute mine approx 1-nautical-mile (1.9 km) west of Dale in Milford Haven, Pembrokeshire.",,1940
Diamond,2 January 1825,"A protected wrecksite; a three-masted square rigger with a composite hull, forerunner of the Ocean liners, lost in Cardigan Bay.",,1825
MV Empire Beacon,5-Apr-42,A coastal trading vessel that struck a mine off Pembrokeshire.,51°41′N 5°10′W﻿ / ﻿51.683°N 5.167°W﻿ / 51.683; -5.167﻿ (MV E,1942
Faraday,25-Mar-41,"A cable layer that was attacked by a Heinkel He 111 off Milford Haven, Pembrokeshire, and sank the following day off St Anne's Head. It is now a protected wreck.",,1941
Herefordshire,15-Mar-34,"Former Bibby Line liner, 7,000 tons, on passage to breakers, lost tow in a storm and ran aground on Cardigan Island; no lives lost, but rats destroyed puffin and Manx shearwater colonies; lies in 12m of water.[12]",,1934
PS Lelia,14 January 1865,A steamship that sank in a storm off the Great Orme.,,1865
Loch Shiel(aka Whiskey Wreck),30 January 1877,"A 1,218 ton rigged sailing ship, 225 ft (69 m) in length, with a cargo of 7,000 cases of whiskey, beer & general goods. Ran aground at Thorne Island in Milford Haven, Pembrokeshire. Now at a depth of 25 feet (7.6 m), is very broken up, but the brick ballast is still visible.[13]",,1877
Lucy,14-Feb-67,"A 52 metres (171 ft) coaster, sank off Skomer Island, Pembrokeshire, while carrying a cargo of calcium carbide from Uddevalla, Sweden to Barry.[14][15]",,1967
HMY Mary,25 March 1675,"A protected wrecksite; the first British Royal Yacht, hit rocks in fog off Anglesey.",,1675
Ocean Monarch,25 August 1848,A barque that caught fire and sank northeast of Llandudno.,,1848
Pacific,January 1856,A Collins Line transatlantic steamer that sank (possibly in the Irish Sea) from unknown causes. Wreck found in 1986.,,1856
SV Paul,30-Oct-25,A four masted windjammer that was wrecked on the Cefn Sidan sands.,,1925
Resurgam II,25 February 1880,A protected wrecksite near Rhyl.,,1880
PS Rothsay Castle,18 August 1831,A paddle steamer that ran aground and broke up at the eastern end of the Menai Strait in 1831.,,1831
Royal Charter,26 October 1859,"A steam clipper driven onto rocks near Moelfre, Anglesey.",,1859
SS Samtampa,23-Apr-47,A steamship wrecked off Sker Point.,,1947
MV Swanland,27-Nov-11,Sank after hitting a large wave following gale force 8 conditions 20 nautical miles (37 km) off the coast of Anglesey.,,2011
U-58,17-Nov-17,A Type U 57 U-boat that was sunk by USS Fanning in the action of 17 November 1917.,,2017
U-1302,7-Mar-45,"A Type VIIC/41 U-boat that was sunk by depth charges from the Canadian frigates HMCS La Hulloise, Strathadam and Thetford Mines in St. George's Channel.",,1945
SS Walter L M Russ,15-Jul-45,A German cargo ship that was captured by the Allies and ran aground on Grassholm.,,1945
HMS Whirlwind,29-Oct-74,A W-class destroyer that was sunk as a target in Cardigan Bay.,,1974
HMS Dundalk,16-Oct-40,A Hunt-class minesweeper that struck a mine and foundered under tow off Harwich.,52°3′N 1°48′E,1940
Terukuni Maru,19-Nov-39,A Japanese ocean liner that struck a German mine off Harwich.,51°50′N 01°30′E,1939
HMT Agate,6-Aug-41,A trawler that ran aground on Haisborough Sands.,52°53′N 01°43′E,1941
Alf,23-Nov-09,A Norwegian barque that ran aground on Haisborough Sands.,52°54′N 01°43′E,2009
Cantabria,2-Nov-38,"A Spanish cargo ship that was sunk by the Spanish Nationalist auxiliary cruiser Nadir northeast of Cromer, during the Spanish Civil War.",53°1′58″N 1°31′57″E,1938
English Trader,26-Oct-41,A merchant ship grounded on Hammond Knoll.,,1941
HMT Force,27-Jun-41,A naval trawler that was sunk by German aircraft off Winterton Ness.,52°48′55″N 001°47′48″E,1941
Gallois,6-Aug-41,A merchant vessel that ran aground on Haisborough Sands.,52°54′N 01°43′E,1941
Georgia,20-Nov-27,An oil tanker that ran aground on Haisborough Sands.,52°52′54″N 001°46′16″E,1927
Hibernia,9-Nov-37,A spritsail that foundered off East Runton.,,1937
Hopelyn,17-Oct-22,A merchant vessel that was stranded on the Scroby Sands.,52°37′N 01°47′E,2022
HMS Kent,15 October 1672,A fourth rate frigate that sank off Cromer.,,1672
Meriones,22-Jan-41,"A merchant vessel that was stranded on the wreck of the SS Monte Nevoso at Haisborough Sands, and then bombed by German aircraft.",52°51′N 01°45′E,1941
Monte Nevoso,14-Oct-32,A merchant vessel that ran aground on Haisborough Sands.,52°51′N 01°46′E,1932
Mount Ida,9-Oct-39,A merchant vessel that ran aground on Ower Bank.,53°10′44″N 1°55′46″E,1939
Sea Queen,13 February 1870,Wrecked on Scroby Sands.,,1870
HMS Umpire,19-Jul-41,A U-class submarine that collided with the Peter Hendriks off Blakeney.,53°09′N 1°06′E,1941
Elbe,31 January 1895,A German liner sunk in the North Sea after colliding with the steamship Crathie.,,1895
HMS Exmoor,25-Feb-41,A Hunt-class destroyer that was attacked by E-boats and capsized off Lowestoft.,52°30′N 02°04′E,1941
Gasfire,21-Jun-41,A steam collier that was sunk by a mine east of Southwold.,52°20′N 1°57′E,1941
Golconda,3-Jun-16,A passenger ship that struck a mine and sank 5 nautical miles (9.3 km) southeast of Aldeburgh.,52°08′30″N 1°44′45″E,2016
Harwich ferry,18 April 1807,"A ferry that capsized off Landguard Fort while overburdened with foot soldiers, women and children.",,1807
Magdapur,10-Sep-39,A cargo ship that struck a mine off Thorpeness.,52°11′N 1°43′E,1939
Phryné,24-Sep-39,A cargo ship that was sunk by mine off Aldeburgh.,52°09′N 1°43′E,1939
U-13,31-May-40,A Type IIB U-boat that was sunk by HMS Weston 11 nautical miles (20 km) southeast of Lowestoft.,52°26′N 02°02′E,1940
Stanegarth,6-Jun-00,A tug scuttled at Stoney Cove to create an artificial reef.,,2000
Abessinia,3-Sep-21,A German steamer wrecked on the Farne Islands.,,2021
HMS Ascot,10-Nov-18,A Racecourse-class minesweeper that was torpedoed by UB-67 off the Farne Islands.,,2018
Don,8-May-15,A cargo ship that was torpedoed by U-9 east of Coquet Island.,,2015
Forfarshire,7 September 1838,A paddlesteamer that foundered on the Farne Islands.,,1838
HMS G11,22-Nov-18,A G-class submarine that ran aground near Howick.,,2018
UB-115,29-Sep-18,A Type UB III U-boat that was sunk by British forces off Newton-by-the-Sea.,,2018
HMS Unity,29-Apr-40,A U-class submarine that collided with Atle Jarl off Blyth.,,1940
Yewglen,1960,Ran aground off Beadnell Point.,,1960
Hebble,6-May-17,A cargo ship that was sunk by mine east of Roker.,,2017
Oslofjord,1-Dec-40,An ocean liner that hit a mine off South Shields.,,1940
UC-32,23-Feb-17,A German U-boat that struck its own naval mine at Sunderland.,,2017
Abana,22 December 1894,"A barque that was caught in a storm and ran aground at Bispham, Blackpool.",,1894
Riverdance,31-Jan-08,A RO-RO ferry that ran aground on Blackpool beach and was finally scrapped in place after refloating attempts failed.,,2008
Alarm,1922,A lightship sunk in a collision in Liverpool Bay.,,1922
Ionic Star,1939,Ionic Star was a Blue Star Line cargo ship crashed on the mad wharf sandbank (a mile from Formby point) on a journey from Rio to Liverpool. Her cargo was salvaged and later used as target practice for the Royal Air Force.,,1939
Pelican,20 March 1793,A privateer that sank in the River Mersey.,,1793
RMS Alaunia,19-Oct-16,Struck a mine off Hastings.,,2016
HMS Ariadne,26-Jul-17,A Diadem-class cruiser torpedoed off Beachy Head by German submarine UC-65.,50°39′18″N 0°17′28″E,2017
HMS Holland 5,8-Aug-12,A Holland-class submarine that foundered off Beachy Head while under tow to be scrapped.,50°43′44″N 0°14′53″E,2012
RMS Moldavia,23-May-18,An armed merchantman torpedoed off Beachy Head by UB-57.,,2018
